cluster_id,user_address,block_time,currency_symbol,amount_original,source_chain_name,destination_chain_name,total_times,source_bridge_contract,destination_bridge_contract,debank_balance,txs_count,amount,source/destination_chain_count/contract_count,day/week/month
1,0x269e3e5a9cd25b692dbf14486ec2ff150a3021a6,2022-12-10 10:06:28.000 UTC,USDC.e,102,Arbitrum,Optimism,57,0x352d8275aae3e0c2404d9f68f6cee084b5beb3dd,0x701a95707a0290ac8b90b3719e8ee5b210360883,206,57,12901.13,"8 , 13 , 24","36 , 30 , 16"
1,0x984fbb69d5692c0a8972799bc50fc49e3a685413,2022-12-10 10:06:28.000 UTC,USDC.e,102,Arbitrum,Optimism,56,0x352d8275aae3e0c2404d9f68f6cee084b5beb3dd,0x701a95707a0290ac8b90b3719e8ee5b210360883,190,56,13657.97,"8 , 14 , 27","39 , 29 , 15"
1,0x9565ef5557402720e60fa7f98c0adc6f47f3ac73,2022-12-10 10:06:28.000 UTC,USDC.e,102,Arbitrum,Optimism,59,0x352d8275aae3e0c2404d9f68f6cee084b5beb3dd,0x701a95707a0290ac8b90b3719e8ee5b210360883,200,59,8598.2,"8 , 13 , 24","37 , 32 , 15"
1,0xd7a1cfdc82daa53522e4f381eb547b3fcafb5517,2022-12-10 10:06:28.000 UTC,USDC.e,102,Arbitrum,Optimism,60,0x352d8275aae3e0c2404d9f68f6cee084b5beb3dd,0x701a95707a0290ac8b90b3719e8ee5b210360883,177,60,13430.55,"8 , 14 , 27","39 , 31 , 15"
1,0x4145640ab8649563ca0b95ff53e51c9dffc8ba5b,2022-12-10 10:06:28.000 UTC,USDC.e,102,Arbitrum,Optimism,62,0x352d8275aae3e0c2404d9f68f6cee084b5beb3dd,0x701a95707a0290ac8b90b3719e8ee5b210360883,158,62,10807.03,"8 , 12 , 24","41 , 33 , 16"
1,0xdcb7bceb9970c39a722eb8f58b0b7a87326784ed,2022-12-10 10:06:28.000 UTC,USDC.e,102,Arbitrum,Optimism,74,0x352d8275aae3e0c2404d9f68f6cee084b5beb3dd,0x701a95707a0290ac8b90b3719e8ee5b210360883,216,74,20836.52,"8 , 16 , 29","45 , 34 , 17"
1,0xb9701d4c0c458c711ce5319f82f139ac986891a5,2022-12-10 10:06:28.000 UTC,USDC.e,102,Arbitrum,Optimism,62,0x352d8275aae3e0c2404d9f68f6cee084b5beb3dd,0x701a95707a0290ac8b90b3719e8ee5b210360883,153,62,9072.86,"9 , 14 , 25","41 , 31 , 14"
1,0xcf658945ac8b2e46ad6e58cc5d4bbb8691fc2d0e,2022-12-10 10:06:28.000 UTC,USDC.e,102,Arbitrum,Optimism,54,0x352d8275aae3e0c2404d9f68f6cee084b5beb3dd,0x701a95707a0290ac8b90b3719e8ee5b210360883,187,54,18250.76,"8 , 13 , 27","34 , 23 , 13"
1,0xfd3937483b07d304165103f459d8839a296ce43f,2022-12-10 10:06:28.000 UTC,USDC.e,102,Arbitrum,Optimism,58,0x352d8275aae3e0c2404d9f68f6cee084b5beb3dd,0x701a95707a0290ac8b90b3719e8ee5b210360883,213,58,14050.33,"8 , 15 , 28","39 , 31 , 15"
1,0xe7e1e6bacdfdb74e8ea87663b3033a485d587a42,2022-12-10 10:06:28.000 UTC,USDC.e,102,Arbitrum,Optimism,66,0x352d8275aae3e0c2404d9f68f6cee084b5beb3dd,0x701a95707a0290ac8b90b3719e8ee5b210360883,203,66,14650.69,"8 , 16 , 25","45 , 34 , 16"
